<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,20020917,000000,0.22425,0.23105,0.22425,0.22769,496882910,0
AAPL.US,D,20020918,000000,0.22577,0.232,0.22333,0.23105,381536507,0
AAPL.US,D,20020919,000000,0.22707,0.22769,0.22274,0.22425,239092531,0
AAPL.US,D,20020920,000000,0.22487,0.22976,0.22333,0.22852,409570197,0
AAPL.US,D,20020923,000000,0.22707,0.23006,0.22214,0.22822,306153649,0
AAPL.US,D,20020924,000000,0.22151,0.22795,0.22151,0.22517,291005584,0
AAPL.US,D,20020925,000000,0.22577,0.23323,0.22547,0.22944,295673520,0
AAPL.US,D,20020926,000000,0.23233,0.23353,0.22396,0.22612,242226231,0
AAPL.US,D,20020927,000000,0.22303,0.22822,0.22274,0.22645,239333055,0
AAPL.US,D,20020930,000000,0.22151,0.22425,0.21745,0.22303,275955085,0
AAPL.US,D,20021001,000000,0.22425,0.22459,0.21539,0.22303,397536226,0
AAPL.US,D,20021002,000000,0.22059,0.22517,0.21686,0.21771,266261580,0
AAPL.US,D,20021003,000000,0.21807,0.22459,0.21631,0.21997,252966362,0
AAPL.US,D,20021004,000000,0.22089,0.22151,0.21539,0.21573,221538972,0
AAPL.US,D,20021007,000000,0.21506,0.21869,0.21159,0.21159,284081690,0
AAPL.US,D,20021008,000000,0.21383,0.21473,0.20546,0.21048,526658937,0
AAPL.US,D,20021009,000000,0.20825,0.21289,0.20635,0.20893,414095061,0
AAPL.US,D,20021010,000000,0.20988,0.21869,0.20893,0.21686,373331822,0
AAPL.US,D,20021011,000000,0.21899,0.22737,0.21686,0.22303,342106012,0
AAPL.US,D,20021014,000000,0.22396,0.23041,0.22214,0.22707,225693335,0
AAPL.US,D,20021015,000000,0.23413,0.2344,0.22737,0.23323,470786631,0
AAPL.US,D,20021016,000000,0.22852,0.2329,0.21383,0.22396,357137028,0
AAPL.US,D,20021017,000000,0.21869,0.22121,0.21506,0.21686,544830147,0
AAPL.US,D,20021018,000000,0.21539,0.22059,0.21413,0.22059,334700956,0
AAPL.US,D,20021021,000000,0.21931,0.22517,0.21539,0.22396,276910722,0
AAPL.US,D,20021022,000000,0.22274,0.22881,0.21931,0.22612,253258886,0
AAPL.US,D,20021023,000000,0.22517,0.23041,0.22303,0.22881,242681312,0
AAPL.US,D,20021024,000000,0.23105,0.23413,0.22396,0.22577,202873695,0
AAPL.US,D,20021025,000000,0.22577,0.23746,0.22425,0.23714,323986825,0
AAPL.US,D,20021028,000000,0.23935,0.24523,0.2344,0.23998,405519839,0
AAPL.US,D,20021029,000000,0.23965,0.24422,0.23006,0.23746,300894092,0
AAPL.US,D,20021030,000000,0.23843,0.2519,0.23813,0.24579,314241312,0
AAPL.US,D,20021031,000000,0.24605,0.25286,0.24489,0.2473,343451734,0
AAPL.US,D,20021101,000000,0.24523,0.25383,0.24453,0.25161,220381735,0
AAPL.US,D,20021104,000000,0.25383,0.26732,0.25161,0.25991,437467368,0
AAPL.US,D,20021105,000000,0.25776,0.26084,0.25161,0.25991,244605626,0
AAPL.US,D,20021106,000000,0.26274,0.26644,0.25688,0.26489,251217509,0
AAPL.US,D,20021107,000000,0.26056,0.26304,0.2434,0.24605,390287244,0
AAPL.US,D,20021108,000000,0.24635,0.2492,0.23875,0.24364,220654809,0
AAPL.US,D,20021111,000000,0.2421,0.24453,0.2326,0.23323,177596542,0
AAPL.US,D,20021112,000000,0.23559,0.24668,0.23499,0.24057,259812226,0
AAPL.US,D,20021113,000000,0.23843,0.2473,0.23499,0.23965,269037652,0
AAPL.US,D,20021114,000000,0.24453,0.25256,0.24274,0.25078,164522379,0
AAPL.US,D,20021115,000000,0.24982,0.24982,0.24242,0.24523,186906476,0
AAPL.US,D,20021118,000000,0.2492,0.2492,0.23875,0.2409,191067248,0
AAPL.US,D,20021119,000000,0.23935,0.24242,0.23071,0.23469,244904670,0
AAPL.US,D,20021120,000000,0.23529,0.24152,0.2344,0.23875,242336710,0
AAPL.US,D,20021121,000000,0.24453,0.25286,0.24242,0.25161,485837122,0
AAPL.US,D,20021122,000000,0.2473,0.25078,0.24453,0.24635,264532229,0
AAPL.US,D,20021125,000000,0.24668,0.24822,0.24177,0.24579,231524949,0
AAPL.US,D,20021126,000000,0.24364,0.24453,0.23469,0.23714,278932640,0
AAPL.US,D,20021127,000000,0.23998,0.24392,0.23746,0.24177,332958629,0
AAPL.US,D,20021129,000000,0.24274,0.24422,0.23714,0.23843,166518321,0
AAPL.US,D,20021202,000000,0.24453,0.24765,0.23071,0.23353,462920029,0
AAPL.US,D,20021203,000000,0.23383,0.23594,0.23233,0.23323,264545195,0
AAPL.US,D,20021204,000000,0.23353,0.23353,0.22303,0.23041,378188261,0
AAPL.US,D,20021205,000000,0.23105,0.232,0.22333,0.22517,282573438,0
AAPL.US,D,20021206,000000,0.22547,0.23353,0.22333,0.22976,284848818,0
AAPL.US,D,20021209,000000,0.22976,0.22976,0.22547,0.22707,274082672,0
AAPL.US,D,20021210,000000,0.22707,0.23746,0.22672,0.23499,358281259,0
AAPL.US,D,20021211,000000,0.23529,0.23843,0.232,0.23843,294301779,0
